Rev,HA,Carb
0.5634116098953992,0.0020845530654450034,0.35210536657363073
0.8064058888321151,0.29382456898547105,0.03202941240286308
0.6266624305953225,0.0001681919322675337,0.3063329418084118
0.06747632892868521,0.6394015776953235,0.6447528911246195
0.6267922718541618,0.00016930695181266157,0.30618371874535943
0.136447731487631,0.4911353769444607,0.4920280749852085
0.019319433288968433,0.8238653835131778,0.8183924499228841
0.3290444408023466,0.38494072475596475,0.2731315165223163
0.03126758017418424,0.6899413111542027,0.7675041173064123
0.6210692713230896,0.35585937815421337,0.11582833603888851
0.46972903073150063,0.07093977758944656,0.2886877665300239
0.8946640108724525,0.10498407913256413,0.05233563208407487
0.07952779381540673,0.45842811748777573,0.6209820511125528
0.4665719837535302,0.07431748602664809,0.2901514404075968
0.46923395085153086,0.07547374288952231,0.2851720302697964
0.24420945637682764,0.11083469239084687,0.5558670094013977
0.8683113894436234,0.2720930812504583,0.012335971819603279
0.4319233119320364,0.034269547059549835,0.3751150715674953
0.19064056136712795,0.50230084518024,0.4064697389669308
0.11415940268251867,0.5460090946718518,0.5337681290975393
0.569852950124272,0.02661349633984789,0.2761544714529851
0.6266422598787926,0.00013409700910397562,0.3067105970865213
0.04298699468660718,0.7124227374532885,0.7208692395272598
0.054147497002938055,0.6317589835340458,0.6847157195263065
0.6439573975185727,0.00023618943454017347,0.2942749711859371
0.46864867168609353,0.07398560248686555,0.2860776805381112
0.7268339482252795,0.23495032184704007,0.0712361054553898
0.05220133840686927,0.5260350331636444,0.7038124810778374
0.11483467473996743,0.2131863140887118,0.6612379744384592
0.9052112055200658,0.25668293427177474,0.004717708510511579
0.6925389900950331,0.002642008564335312,0.25197842713366864
0.3495545841322052,0.053897707947717484,0.4871465628527734
0.6936314010500912,0.3375056140544033,0.08089421199915438
0.01712227432372186,0.6068489036887103,0.9036734713173414
0.06847077810492073,0.30135303035116123,0.7515556923747942
0.3931506412357392,0.45508547728682547,0.2313242948654305
0.2942080585151317,0.4898775278563962,0.2942081054621423
0.46351037568820314,0.016435893806285903,0.4155981605875477
0.18008439009498234,0.5050548479607508,0.42123598191311806
0.47488882667363785,0.41334456833809957,0.18846448913691288
0.1298417774710527,0.19677698688826062,0.6457835269122995
0.45021189449485055,0.022598749722226395,0.3891175932675103
0.8956361306435113,0.21721558570340743,0.008545034911020486
0.025873247146166387,0.7457322821870039,0.788233252405003
0.35918398158062964,0.21670164366829522,0.28798208824266475
0.2988191213670183,0.17133077340075148,0.3625612130610126
0.8856111068774529,0.26391935726954424,0.00862975582470024
0.5989121134361228,0.2645209659421786,0.1309762126089673
0.7253796880085682,0.32089383202934707,0.06629098421094119
0.3649485305472822,0.0474227518587056,0.4746343831997902
0.5395938643890081,0.3826743314782032,0.15592195320065336
0.38293602504429397,0.04012277088914534,0.46622019730048153
0.9133174235274996,0.25464333934546035,0.0031507694896251103
0.28737384632782764,0.2325469678331436,0.34219081789487243
0.543490033106335,0.03417607814569846,0.2816221039655083
0.7321998315830972,0.32964849953148756,0.06269937112221882
0.6267247097653935,0.00011006634012739934,0.30692825639714644
0.2258828810935106,0.4933361451625875,0.3624917973455483
0.4468036257037669,0.17020548744480946,0.23935876058654762
0.8834194515863985,0.2652098520112279,0.009065334590648724
0.013507936693606596,0.7805859329821254,0.8538530182162021
0.8856176871728193,0.26312463973986816,0.008686534568311892
0.854166002495768,0.27839354842459946,0.015620669806358952
0.07801986847297544,0.5117669944620542,0.6203611248135736
0.6267270707526469,0.00011000771749057541,0.30691742630711905
0.003197757203494761,0.866863134213918,0.9666895269688865
0.273954619092192,0.4901677745968747,0.31216766404262586
0.24028424241363963,0.2401126277038049,0.3922276539323049
0.5148802952830277,0.37601815356579027,0.1683662660326665
0.2550618876543702,0.1805652061057968,0.40404942463073273
0.6055747389592675,0.3580576344275806,0.12349926569869449
0.590899890430725,0.364063091895563,0.13066239709536012
0.5489589623996314,0.37205055474565574,0.1518873282509237
0.8763412056819582,0.25799158514270637,0.010729758874266677
0.11087365743602033,0.2677738546478336,0.5815872971443653
0.522873199869782,0.3439095042816648,0.1650277287445033
0.5395927932239605,0.38319072096715034,0.15591999370232804
0.5116789622940549,0.39649332012868405,0.16985418782038525
0.11518986647345617,0.5469109256072894,0.5315709958786772
0.9467684885576935,0.23528028435529122,0.0001489788296837759
0.2331302411872053,0.495044982490926,0.35421495762182786
0.13608387888230328,0.5302581622206614,0.4918140550051761
0.5225286948682791,0.39059465051420594,0.16442513559966263
0.4708054806195589,0.07126984629424975,0.28738218253645365
0.614827874622864,0.10126406597850933,0.16546065130104376
0.6308222546377195,9.807308792312064e-05,0.30586804652655597
0.15314636409243362,0.2660571047785626,0.49188710697900956
0.6190632727362131,6.547994403719186e-05,0.3142986727745138
0.014172502285380263,0.744339341625338,0.8539513811242075
0.6266744350092679,0.0001341211754654082,0.30668258547282873
0.7387914457279094,0.32903974731127167,0.05964934099738598
0.537855013130909,0.37650122879424924,0.15742089386936972
0.5613074954436191,0.12261172723365042,0.18528548130020434
0.09858285068079936,0.5782873111313642,0.5673197647671386
0.0887364073264681,0.5862836949346257,0.5899313448833158
0.6266178381297935,0.0001494598539396503,0.30644480222300163
0.9094522496657058,0.2541915262231667,0.003977196938510819
0.626806899330153,0.0001228315297505944,0.306700743373617
0.32501204893994046,0.06540128564312445,0.5017222646999576
0.5100617492039692,0.3951301897817617,0.17087362017048005
0.46917821009114086,0.07186055492526475,0.2879405054258552
0.2672274460300003,0.37981226402034807,0.32359454464188214
0.04176058176348053,0.4363263056869794,0.7745312820781879
0.6487565249455043,0.3483995054642298,0.10237774328405834
