Rev,Carb,DW
0.7823228157644632,0.16675730716495907,0.00011363910223176045
0.6676520516423976,0.21551296904488296,0.0029561024974751704
0.8064058888321151,0.03202941240286308,0.1341906545468955
0.6684584799412395,0.17114792778145005,0.0053775180857782295
0.06747632892868521,0.6447528911246195,0.5286390681774047
0.7369117203117509,0.1826246024024106,0.0007310120453121482
0.14422797949659774,0.6036602784006065,0.09074241456756903
0.136447731487631,0.4920280749852085,0.32500895735086127
0.019319433288968433,0.8183924499228841,0.7812509401598241
0.3290444408023466,0.2731315165223163,0.17303244209033922
0.03126758017418424,0.7675041173064123,0.6864047889885214
0.5442291473999894,0.24038263041148783,0.012497281392446605
0.5486118057618251,0.2372151215897822,0.014659727467745255
0.6640783196392905,0.10420871248812032,0.04821777037880961
0.6210692713230896,0.11582833603888851,0.16802134032468133
0.6825406966826666,0.21033325272636078,0.0022706685440042943
0.7549052163301743,0.08089451148327625,0.01962066911656145
0.009558330973642535,0.8857170983039908,0.7333042465500678
0.06294542152867949,0.7243956203874825,0.17318683032727825
0.04116457532314512,0.8201077803028921,0.22094581057085053
0.7734665737705463,0.1600821038884812,0.0006501274316098029
0.036945298763188326,0.7592355123145806,0.373528574725622
0.8683113894436234,0.012335971819603279,0.11508220773327865
0.7761819244125481,0.16010889018133503,0.0005550184208944906
0.0025314745914064908,0.9697665255880018,0.8486032940491853
0.04298699468660718,0.7208692395272598,0.641854296199039
0.054147497002938055,0.6847157195263065,0.5269409036261253
0.00645906333230927,0.9616081462606068,0.6688073437766672
0.78251978552061,0.16050341388100278,0.0003180499803574794
0.05220133840686927,0.7038124810778374,0.3482923884134335
0.9052112055200658,0.004717708510511579,0.10722818779557979
0.6936314010500912,0.08089421199915438,0.16019588285853442
0.2942080585151317,0.2942081054621423,0.2312032287185155
0.47488882667363785,0.18846448913691288,0.1862551768986693
0.7783927147398938,0.16040246256293497,0.00046201518972326593
0.7975814363762365,0.15795473490135054,0.00018216620143403418
0.04281347643633814,0.8310269252829094,0.21172876614469577
0.779034371174229,0.16061748909845633,0.0004290877967262064
0.025803277238013844,0.8461780387023218,0.3334419422176039
0.5688488346577639,0.2662644613226805,0.008352260094559371
0.5989121134361228,0.1309762126089673,0.12228816010628965
0.7253796880085682,0.06629098421094119,0.12083243928882709
0.021552243062799473,0.8665735835814252,0.3773085761998586
0.7169479586410767,0.06997242816137539,0.15651040439121638
0.030555747621642124,0.8748672896929717,0.27291682300849424
0.062030689623942405,0.6873435089446692,0.21824048633913426
0.5395938643890081,0.15592195320065336,0.17711248494558188
0.9133174235274996,0.0031507694896251103,0.10658765273911681
0.7832340461428684,0.1605785949133067,0.00029150374049918197
0.59367007959349,0.25436205319230354,0.006749032760931813
0.7321998315830972,0.06269937112221882,0.15733179596122385
0.2258828810935106,0.3624917973455483,0.25806563779611397
0.23284891088211224,0.3723311329838897,0.09336719337991589
0.706310708400771,0.19712214789113164,0.00145701741016809
0.7073282418484319,0.19627554030650035,0.0014570102696902722
0.8834194515863985,0.009065334590648724,0.11171218493768903
0.0457348755235655,0.7488753703128246,0.2466175298933724
0.8856176871728193,0.008686534568311892,0.10899117845561407
0.854166002495768,0.015620669806358952,0.12206154274479566
0.7790214701520881,0.16065557837672528,0.0004304394314684269
0.003197757203494761,0.9666895269688865,0.8322372339080351
0.61324383704265,0.24392734336263713,0.005543743867172335
0.273954619092192,0.31216766404262586,0.24022829771349014
0.24028424241363963,0.3922276539323049,0.0882716044449049
0.7830892092415513,0.16490948009124867,0.00019308601409551227
0.7825655092959056,0.16871860570950883,7.055609390659067e-05
0.5148802952830277,0.1683662660326665,0.16765609805716292
0.24160265098583228,0.4779803590598666,0.05200331840433363
0.24160269318392547,0.4770929099137975,0.05426328536924982
0.7226493950918909,0.16795721904625355,0.0015487967921262013
0.6055747389592675,0.12349926569869449,0.16835813946242273
0.547673223625525,0.15188734071912632,0.17649191459875208
0.5489589623996314,0.1518873282509237,0.16490783443836596
0.8763412056819582,0.010729758874266677,0.10553388264687623
0.6550443288189417,0.22447576232178207,0.0034613243478158855
0.5395927932239605,0.15591999370232804,0.17745298506840473
0.5116789622940549,0.16985418782038525,0.1817114672346508
0.11518986647345617,0.5315709958786772,0.3890971682879092
0.02252823828885866,0.8045055588378297,0.6871972518861056
0.7063035255179343,0.19769909258254043,0.0014330542187338622
0.9467684885576935,0.0001489788296837759,0.0861831250546957
