Rev,HA,Carb,DW
0.5634116098953992,0.0020845530654450034,0.35210536657363073,0.06501300826394509
0.7823228157644632,0.1246997743518402,0.16675730716495907,0.00011363910223176045
0.6676520516423976,0.14522188171729247,0.21551296904488296,0.0029561024974751704
0.8064058888321151,0.29382456898547105,0.03202941240286308,0.1341906545468955
0.4718884930715731,0.07962202314007595,0.2839406189912973,0.042952879003654715
0.6684584799412395,0.15841759161584137,0.17114792778145005,0.0053775180857782295
0.6266624305953225,0.0001681919322675337,0.3063329418084118,0.04690959507342883
0.06747632892868521,0.6394015776953235,0.6447528911246195,0.5286390681774047
0.7369117203117509,0.1322373400088154,0.1826246024024106,0.0007310120453121482
0.4346292267342999,0.0234504149678793,0.43524383769208225,0.10271249349463676
0.6267922718541618,0.00016930695181266157,0.30618371874535943,0.04688738349984518
0.14422797949659774,0.3272489507668598,0.6036602784006065,0.09074241456756903
0.136447731487631,0.4911353769444607,0.4920280749852085,0.32500895735086127
0.019319433288968433,0.8238653835131778,0.8183924499228841,0.7812509401598241
0.3290444408023466,0.38494072475596475,0.2731315165223163,0.17303244209033922
0.03126758017418424,0.6899413111542027,0.7675041173064123,0.6864047889885214
0.5442291473999894,0.16425929900683406,0.24038263041148783,0.012497281392446605
0.5486118057618251,0.15933052289527275,0.2372151215897822,0.014659727467745255
0.6640783196392905,0.2695288906274276,0.10420871248812032,0.04821777037880961
0.6210692713230896,0.35585937815421337,0.11582833603888851,0.16802134032468133
0.46972903073150063,0.07093977758944656,0.2886877665300239,0.048936548149409946
0.6825406966826666,0.14353976690913692,0.21033325272636078,0.0022706685440042943
0.6821536461765395,0.1360002357668746,0.20832665752808674,0.00412446026324162
0.7549052163301743,0.19701488114986962,0.08089451148327625,0.01962066911656145
0.009558330973642535,0.8475753826488766,0.8857170983039908,0.7333042465500678
0.8946640108724525,0.10498407913256413,0.05233563208407487,0.03436148074032059
0.46422530004177626,0.10140565157177266,0.2984357588215481,0.03653687806856325
0.06294542152867949,0.4959805289059026,0.7243956203874825,0.17318683032727825
0.04116457532314512,0.5198787596918326,0.8201077803028921,0.22094581057085053
0.07952779381540673,0.45842811748777573,0.6209820511125528,0.4058445896507421
0.4665719837535302,0.07431748602664809,0.2901514404075968,0.05192757313937978
0.4818110587735153,0.0376485586471882,0.36460078200758766,0.03764910295093682
0.46923395085153086,0.07547374288952231,0.2851720302697964,0.04369828813262193
0.47087157594282886,0.07958659206744258,0.28473452488523193,0.04235733795797167
0.7734665737705463,0.12108181337394243,0.1600821038884812,0.0006501274316098029
0.036945298763188326,0.6753225319478902,0.7592355123145806,0.373528574725622
0.5026750967164806,0.11928054386812344,0.25582301864487944,0.06252587042714647
0.24420945637682764,0.11083469239084687,0.5558670094013977,0.15158795880790787
0.8683113894436234,0.2720930812504583,0.012335971819603279,0.11508220773327865
0.7761819244125481,0.12120861196488758,0.16010889018133503,0.0005550184208944906
0.0025314745914064908,0.9348761070321391,0.9697665255880018,0.8486032940491853
0.626699367942959,0.00011096267174886363,0.30693500004447166,0.04717466550794355
0.4319233119320364,0.034269547059549835,0.3751150715674953,0.09324828137355595
0.6269065474266113,9.932683812346517e-05,0.3071090217079645,0.04720881683562305
0.19064056136712795,0.50230084518024,0.4064697389669308,0.2880600060197797
0.11415940268251867,0.5460090946718518,0.5337681290975393,0.3893704582966353
0.569852950124272,0.02661349633984789,0.2761544714529851,0.042526557446933254
0.6266422598787926,0.00013409700910397562,0.3067105970865213,0.04711448866431865
0.04298699468660718,0.7124227374532885,0.7208692395272598,0.641854296199039
0.054147497002938055,0.6317589835340458,0.6847157195263065,0.5269409036261253
0.00645906333230927,0.8721817382162022,0.9616081462606068,0.6688073437766672
