HA,Carb,DW
0.0009916721547541345,0.9515390097312365,0.5193155233956911
0.01109281764010337,0.8147730065595999,0.45136027695882314
0.030336512756497267,0.6991817574601478,0.40843834298063075
0.5061126605155876,0.5130005615769399,0.0014835646089973306
0.5056934729766942,0.5116362808175962,0.0017832574201515148
0.000885883340053095,0.9514972402455203,0.5215739072572515
0.5077294059012744,0.5166569693065233,0.0009537538240709921
0.5039397084398847,0.5085999047340041,0.0023007387156665595
0.5610034967947548,0.12077648208113302,0.37596167103185923
0.505914910557002,0.5126060357912208,0.0015546014787935318
0.5817277162693093,0.2462006077230641,0.05911778968847126
0.0002141160599864067,0.993163516430744,0.5497379088736841
0.5114244066716971,0.4327651301266204,0.006781873162045323
0.9686251903952887,0.0024911236297906793,0.654698152656876
0.5717302228811098,0.11169808259623434,0.3786377851929089
0.07154606776253884,0.714794901988099,0.1985224902823008
0.7558170107341222,0.06136659506920748,0.23239184344815622
0.6042247216268214,0.06988110924533499,0.4549152455995787
0.00036844298689475425,0.9893539067283356,0.5448800061603731
0.04865828371081135,0.636713935353611,0.390329781148201
0.0003644390873154472,0.9895768422605024,0.54490913427738
0.4435193310173542,0.5111917743799458,0.005364873550586617
0.5061125745467698,0.5135784029879785,0.0014151020519990365
0.487223914484297,0.1553638852193388,0.3289220122353181
0.4895259150672655,0.15748136110027292,0.26984666334748897
0.7716252357353797,0.05998197003490133,0.21610521939523164
0.0034279095495766223,0.900090999403063,0.4914741942642781
0.5060734115477374,0.5137051823684584,0.0013176189087223786
0.5310482868949917,0.3459285235250867,0.022396870504273983
0.5047501374086681,0.5112713128756398,0.0019894633675019624
0.44319963833725234,0.509925594413306,0.005506645640316252
0.520350270894787,0.3635053221505696,0.017136669104560378
0.00345424487635434,0.9001095370747572,0.4901912859346975
0.016705450028993738,0.770662421003654,0.4311129064413982
0.016705808224925137,0.7709646243528229,0.42913657010323675
0.027929435928138364,0.7597210020637806,0.37872776720844725
0.5077038773358993,0.5166132956556777,0.0009541245088207942
0.5650020202849015,0.08533110089114074,0.4349802852861644
0.00047479249727107905,0.9699832249831755,0.5344441636900252
0.4652037633007353,0.18913652481024407,0.33358338037091717
0.2637099561824745,0.5676194198845026,0.049497781962917306
0.1398593094728268,0.4550197997376024,0.35132636980092347
0.5195569919982425,0.3635213363062635,0.017203286285773386
0.13986085758216807,0.45501928356523486,0.34966826813826757
0.0007379764920846322,0.970430536748863,0.5341982972215547
0.45888466484563817,0.14767868138072807,0.38071856610561855
0.02312051261321187,0.7323341636053335,0.42135402088524976
0.5046382171123069,0.5101451243352036,0.00199921796479374
0.6355277571468942,0.06727733443477382,0.38775193146260833
