f1,f2,f3,f4
0.16032704965668348,0.16032704965668354,0.16032704965668337,0.9870425216972567
0.2221414726891356,0.22214147268913564,0.22214147268913564,0.9749856670681843
0.0524520794459404,0.052452079445940415,0.052452079445940436,0.9986160061602857
0.7480187774531345,0.7480187774531346,0.7480187774531346,0.6635975501390494
0.2649688159873158,0.26496881598731586,0.2649688159873159,0.9642233531205191
0.5594019243536842,0.5594019243536842,0.5594019243536841,0.8288334848033134
0.9739297288268048,0.9739297288268048,0.9739297288268048,0.2267451041439254
0.9539324491708406,0.9539324491708409,0.9539324491708407,0.29991997305189544
0.7747888475405811,0.7747888475405813,0.7747888475405812,0.6321376480916762
0.6094793991504778,0.6094793991504778,0.6094793991504777,0.7927342935064339
0.9263676465059075,0.9263676465059075,0.9263676465059075,0.37652267387051186
0.9258608658165614,0.9258608658165614,0.9258608658165612,0.37776686107320007
0.4985940423376861,0.4985940423376862,0.4985940423376861,0.8667781994900051
0.9967648636669901,0.9967648636669904,0.9967648636669902,0.08026190691230177
0.7893176693591865,0.7893176693591867,0.7893176693591866,0.6139012555686103
0.9857739060228263,0.9857739060228263,0.9857739060228262,0.16796942930508088
0.9834042131142409,0.9834042131142411,0.983404213114241,0.1813213090064749
0.4173816203704782,0.4173816203704783,0.41738162037047827,0.9086817261643195
0.02589802845055944,0.025898028450559447,0.025898028450559624,0.9996608608105958
0.9903753847631662,0.9903753847631664,0.9903753847631663,0.13829874661038616
0.9897421844567859,0.9897421844567861,0.989742184456786,0.14275657457546828
0.9608351721100864,0.9608351721100864,0.9608351721100863,0.2770179477065907
0.8355154102893043,0.8355154102893043,0.8355154102893042,0.549378890688802
0.9869015454936791,0.986901545493679,0.9869015454936791,0.16121606546081413
0.25380494853640384,0.2538049485364039,0.2538049485364038,0.967223038755372
0.5534645893264231,0.553464589326423,0.553464589326423,0.832810190188651
0.026633683732118794,0.026633683732118798,0.026633683732118895,0.9996414272708207
0.7058227570670124,0.7058227570670126,0.7058227570670124,0.708312247377783
0.9970415765963146,0.9970415765963146,0.9970415765963146,0.07675297312054224
0.6584714487291193,0.6584714487291194,0.6584714487291192,0.7525337024150317
0.9249801371552892,0.924980137155289,0.9249801371552892,0.3799178222148357
0.07270359729585363,0.07270359729585366,0.07270359729585368,0.9973434031965738
0.5183983948676962,0.5183983948676963,0.5183983948676963,0.8550799592517585
