f1,f2,f3,f4,f5
0.4420585837522182,0.44205858375221785,0.442058583752218,0.44205858375221807,0.8969708430305976
0.7890924944488349,0.7890924944488349,0.7890924944488348,0.7890924944488349,0.614219042201451
0.4742909523277232,0.4742909523277232,0.47429095232772345,0.47429095232772334,0.8803504440746545
0.4282248992862085,0.4282248992862085,0.4282248992862084,0.4282248992862085,0.9036578147083094
0.9117948549721414,0.9117948549721412,0.9117948549721412,0.9117948549721412,0.4105620295444842
0.8466830925148965,0.8466830925148965,0.8466830925148964,0.8466830925148964,0.5320305762832487
0.8203217627370166,0.8203217627370166,0.8203217627370167,0.820321762737017,0.5718409513120083
0.976624574192553,0.9766245741925529,0.9766245741925528,0.9766245741925529,0.21484076248688777
0.9831973355191375,0.9831973355191371,0.9831973355191372,0.9831973355191372,0.18242992461388646
0.717971933285594,0.7179719332855937,0.7179719332855938,0.7179719332855938,0.6960282244045296
0.9236280441412997,0.9236280441412994,0.9236280441412995,0.9236280441412995,0.38320219919522575
0.8969330362709872,0.8969330362709869,0.896933036270987,0.896933036270987,0.44208685245030305
0.8829370158569272,0.8829370158569272,0.8829370158569272,0.8829370158569272,0.4694157413440053
0.9413117976380513,0.9413117976380512,0.9413117976380511,0.9413117976380512,0.3374440576721258
0.6490808822579502,0.6490808822579502,0.64908088225795,0.6490808822579501,0.7606847030887651
0.8851790274561278,0.8851790274561275,0.8851790274561276,0.8851790274561276,0.4651742571476449
0.9552600848344953,0.955260084834495,0.9552600848344951,0.9552600848344951,0.2956669936174914
0.9939380282164326,0.9939380282164326,0.9939380282164325,0.9939380282164326,0.10981567913151233
0.9711807355194593,0.9711807355194589,0.9711807355194592,0.9711807355194592,0.2382361010698948
0.945129365508376,0.9451293655083757,0.9451293655083759,0.9451293655083759,0.3266005586046003
0.40483906471349945,0.40483906471349945,0.40483906471349945,0.40483906471349934,0.9143751122406444
0.1528415929270563,0.1528415929270563,0.1528415929270563,0.15284159292705632,0.9882486789457046
0.7853760991309694,0.7853760991309694,0.7853760991309694,0.7853760991309694,0.6189642002139936
0.31387462185298837,0.31387462185298837,0.3138746218529884,0.3138746218529884,0.949456663876195
0.9334761321661894,0.9334761321661891,0.9334761321661892,0.9334761321661893,0.3585482519696081
0.9988101773289585,0.9988101773289584,0.9988101773289583,0.9988101773289584,0.04863252527451173
0.9994778838264458,0.9994778838264456,0.9994778838264455,0.9994778838264456,0.0321735918230681
0.4294516964191445,0.4294516964191445,0.4294516964191443,0.42945169641914455,0.9030753661203185
0.9445759362469109,0.9445759362469106,0.9445759362469106,0.9445759362469107,0.3281974776097237
